city,distance,value
Jalalabad,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Jalalabad,transportation_distance_km,NA
Jalalabad,transportation_distance_km_year,NA
Jalalabad,transportation_distance_total_km_day,NA
Kandahar,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Kandahar,transportation_distance_km,NA
Kandahar,transportation_distance_km_year,NA
Kandahar,transportation_distance_total_km_day,NA
Mazar-E-Sharif,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Mazar-E-Sharif,transportation_distance_km,NA
Mazar-E-Sharif,transportation_distance_km_year,NA
Mazar-E-Sharif,transportation_distance_total_km_day,NA
Kabul,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,80
Kabul,transportation_distance_km,NA
Kabul,transportation_distance_km_year,NA
Kabul,transportation_distance_total_km_day,NA
HiratÂ ,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
HiratÂ ,transportation_distance_km,35
HiratÂ ,transportation_distance_km_year,NA
HiratÂ ,transportation_distance_total_km_day,NA
Luanda,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,20
Luanda,transportation_distance_km,NA
Luanda,transportation_distance_km_year,NA
Luanda,transportation_distance_total_km_day,NA
Korca,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,7
Korca,transportation_distance_km,NA
Korca,transportation_distance_km_year,NA
Korca,transportation_distance_total_km_day,NA
Vlora,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,7
Vlora,transportation_distance_km,NA
Vlora,transportation_distance_km_year,NA
Vlora,transportation_distance_total_km_day,NA
Abu Dhabi,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Abu Dhabi,transportation_distance_km,NA
Abu Dhabi,transportation_distance_km_year,NA
Abu Dhabi,transportation_distance_total_km_day,NA
Dubai,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Dubai,transportation_distance_km,NA
Dubai,transportation_distance_km_year,NA
Dubai,transportation_distance_total_km_day,NA
CÃ³rdoba,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
CÃ³rdoba,transportation_distance_km,NA
CÃ³rdoba,transportation_distance_km_year,NA
CÃ³rdoba,transportation_distance_total_km_day,NA
Rosario,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,30
Rosario,transportation_distance_km,NA
Rosario,transportation_distance_km_year,NA
Rosario,transportation_distance_total_km_day,NA
Ciudada AutÃ³noma De Buenos Aires (Caba).,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Ciudada AutÃ³noma De Buenos Aires (Caba).,transportation_distance_km,NA
Ciudada AutÃ³noma De Buenos Aires (Caba).,transportation_distance_km_year,NA
Ciudada AutÃ³noma De Buenos Aires (Caba).,transportation_distance_total_km_day,NA
Vanadzor,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,13
Vanadzor,transportation_distance_km,NA
Vanadzor,transportation_distance_km_year,124020
Vanadzor,transportation_distance_total_km_day,NA
Spitak,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,4
Spitak,transportation_distance_km,NA
Spitak,transportation_distance_km_year,NA
Spitak,transportation_distance_total_km_day,NA
Pago Pago,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Pago Pago,transportation_distance_km,NA
Pago Pago,transportation_distance_km_year,NA
Pago Pago,transportation_distance_total_km_day,NA
Perth,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,35
Perth,transportation_distance_km,NA
Perth,transportation_distance_km_year,NA
Perth,transportation_distance_total_km_day,NA
Melbourne,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Melbourne,transportation_distance_km,NA
Melbourne,transportation_distance_km_year,NA
Melbourne,transportation_distance_total_km_day,NA
Canberra,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
