"objid","gefaess_id","bemerkung","gefaesstyp","auspraegung_1","auspraegung_2","auspraegung_3","auspraegung_4","auspraegung_5","dimension","ort","region","saison","gefaesstyp_txt","auspraegung_1_txt","auspraegung_2_txt","auspraegung_3_txt","auspraegung_4_txt","auspraegung_5_txt","region_txt","saison_txt","dimension_txt","geometry"
"1","154","","4","7","1","1","1","1","2","Haltestelle Bahnhof Tiefenbrunnen","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2684796.5 1244966.2)"
"2","155","","5","8","12","1","1","1","4","Haltestelle Bahnhof Tiefenbrunnen","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2684800.8 1244989.9)"
"3","156","","0","3","1","1","1","1","0","Seefeldstrasse 311","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2685091.2 1244653.8)"
"4","157","","4","17","1","1","1","1","2","Rainstrasse 40","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682263.2 1244219)"
"5","158","","0","3","1","1","1","1","0","Wachtelstrasse 15","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682289.8 1244170.1)"
"6","159","","0","3","1","1","1","1","0","Wernerstrasse 27","1","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682340.5 1244126.8)"
"7","160","","4","17","1","1","1","1","2","Butzenstrasse 4","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682455.2 1243980)"
"8","161","","4","17","1","1","1","1","2","Butzenstrasse 3","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682461.5 1243958.4)"
"9","162","","4","17","1","1","1","1","2","Albisstrasse 76","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682503 1243982)"
"10","164","","5","8","11","1","1","1","4","Haltestelle Butzenstrasse","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682493 1243911.1)"
"11","165","","5","8","11","1","1","1","4","Haltestelle Butzenstrasse","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682504.2 1243917.6)"
"12","166","","4","17","1","1","1","1","2","Albisstrasse 81","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682500.2 1243864.6)"
"13","167","","4","17","1","1","1","1","2","Albisstrasse 81","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682492.2 1243836)"
"14","168","","5","8","11","1","1","1","4","Haltestelle Butzenstrasse","1","0","Abfallhai","Ascher","Innenkuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682499.5 1243899.2)"
"15","169","","4","17","1","1","1","1","2","Speerstrasse 60","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682390.8 1243790.2)"
"16","170","","4","17","1","1","1","1","2","Haltestelle Verenastrasse","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682119.8 1243900.1)"
"17","171","","4","17","1","1","1","1","2","Haltestelle Verenastrasse","1","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2682121.5 1243919.5)"
"18","172","","4","17","9","3","1","1","2","Eidechsenweg","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2681925.8 1243882.5)"
